resultat image
apple-10.pgm 5.84091
apple-11.pgm 5.913
apple-12.pgm 5.59241
apple-13.pgm 5.74776
apple-14.pgm 5.58257
apple-1.pgm 5.58979
apple-20.pgm 5.74695
apple-2.pgm 5.0583
apple-3.pgm 6.28361
apple-4.pgm 6.08189
apple-5.pgm 6.48788
apple-6.pgm 5.22162
apple-7.pgm 5.80697
apple-8.pgm 5.35586
apple-9.pgm 5.67234
bat-10.pgm 10.3392
bat-11.pgm 12.3332
bat-12.pgm 7.95124
bat-13.pgm 9.47626
bat-14.pgm 9.77733
bat-1.pgm 10.2161
bat-20.pgm 8.55904
bat-2.pgm 8.92068
bat-3.pgm 10.8824
bat-4.pgm 9.22895
bat-5.pgm 11.0419
bat-6.pgm 9.46388
bat-7.pgm 11.3026
bat-8.pgm 8.25806
bat-9.pgm 10.1202
beetle-10.pgm 21.2931
beetle-11.pgm 17.3575
beetle-12.pgm 20.8402
beetle-13.pgm 18.4839
beetle-14.pgm 20.2934
beetle-1.pgm 21.181
beetle-20.pgm 20.2985
beetle-2.pgm 15.2616
beetle-3.pgm 13.0498
beetle-4.pgm 18.2328
beetle-5.pgm 16.1755
beetle-6.pgm 19.4489
beetle-7.pgm 15.1559
beetle-8.pgm 18.4136
beetle-9.pgm 23.1689
bell-10.pgm 5.34668
bell-11.pgm 5.37871
bell-12.pgm 5.37871
bell-13.pgm 5.6685
bell-14.pgm 5.6685
bell-1.pgm 5.96532
bell-20.pgm 5.45029
bell-2.pgm 5.01108
bell-3.pgm 5.25082
bell-4.pgm 5.33778
bell-5.pgm 5.23965
bell-6.pgm 5.40462
bell-7.pgm 5.40462
bell-8.pgm 5.53001
bell-9.pgm 5.53001
bird-10.pgm 8.9947
bird-11.pgm 7.8108
bird-12.pgm 7.99419
bird-13.pgm 7.62511
bird-14.pgm 7.54198
bird-1.pgm 8.2529
bird-20.pgm 8.66797
bird-2.pgm 7.4303
bird-3.pgm 8.6114
bird-4.pgm 10.153
bird-5.pgm 9.43161
bird-6.pgm 11.1593
bird-7.pgm 7.95677
bird-8.pgm 9.25561
bird-9.pgm 7.68958
Bone-10.pgm 10.4959
Bone-11.pgm 11.2378
Bone-12.pgm 12.3027
Bone-13.pgm 10.1077
Bone-14.pgm 8.70845
Bone-1.pgm 10.1536
Bone-20.pgm 10.0195
Bone-2.pgm 9.67651
Bone-3.pgm 10.4454
Bone-4.pgm 10.1107
Bone-5.pgm 10.2069
Bone-6.pgm 9.91838
Bone-7.pgm 10.0148
Bone-8.pgm 10.1105
Bone-9.pgm 11.2084
bottle-01.pgm 5.7608
bottle-02.pgm 5.60607
bottle-03.pgm 5.778
bottle-04.pgm 5.72317
bottle-05.pgm 5.86276
bottle-06.pgm 5.80046
bottle-07.pgm 6.18494
bottle-08.pgm 5.55752
bottle-09.pgm 5.9397
bottle-10.pgm 5.71964
bottle-11.pgm 5.74673
bottle-12.pgm 5.68391
bottle-13.pgm 5.6926
bottle-14.pgm 5.6659
bottle-20.pgm 5.91568
brick-01.pgm 6.13015
brick-02.pgm 5.53157
brick-03.pgm 5.52079
brick-04.pgm 5.76293
brick-05.pgm 5.72631
brick-06.pgm 5.94736
brick-07.pgm 5.72908
brick-08.pgm 5.65871
brick-09.pgm 5.68782
brick-10.pgm 6.43131
brick-11.pgm 5.85157
brick-12.pgm 6.3273
brick-13.pgm 5.55209
brick-14.pgm 6.27273
brick-20.pgm 6.1388
butterfly-10.pgm 9.61601
butterfly-11.pgm 11.6213
butterfly-12.pgm 8.69001
butterfly-13.pgm 10.4386
butterfly-14.pgm 8.16103
butterfly-1.pgm 9.05607
butterfly-20.pgm 9.36544
butterfly-2.pgm 10.9558
butterfly-3.pgm 9.63531
butterfly-4.pgm 11.6228
butterfly-5.pgm 8.45525
butterfly-6.pgm 10.4635
butterfly-7.pgm 8.29867
butterfly-8.pgm 10.041
butterfly-9.pgm 11.2831
camel-10.pgm 8.39605
camel-11.pgm 8.81689
camel-12.pgm 8.17852
camel-13.pgm 8.15983
camel-14.pgm 10.7463
camel-1.pgm 8.96767
camel-20.pgm 9.32219
camel-2.pgm 11.4044
camel-3.pgm 12.0535
camel-4.pgm 13.459
camel-5.pgm 9.69276
camel-6.pgm 12.5715
camel-7.pgm 9.10705
camel-8.pgm 11.1114
camel-9.pgm 10.1809
car-01.pgm 5.61634
car-02.pgm 5.6194
car-03.pgm 5.69237
car-04.pgm 5.65893
car-05.pgm 5.68594
car-06.pgm 5.602
car-07.pgm 5.53325
car-08.pgm 5.51278
car-09.pgm 5.61022
car-10.pgm 5.61902
car-11.pgm 5.80409
car-12.pgm 5.8401
car-13.pgm 5.70947
car-14.pgm 5.58658
car-20.pgm 5.94588
carriage-01.pgm 9.03368
carriage-02.pgm 10.0826
carriage-03.pgm 9.49264
carriage-04.pgm 9.60351
carriage-05.pgm 10.0079
carriage-06.pgm 9.49425
carriage-07.pgm 9.40443
carriage-08.pgm 9.53741
carriage-09.pgm 10.1179
carriage-10.pgm 9.85079
carriage-11.pgm 9.8894
