resultat image
1 apple 40 64
2 bat 21 35
3 beetle 11 25
4 bell 17 29
5 bird 16 44
6 Bone 8 26
7 bottle 17 27
8 brick 18 26
9 buterfly 26 59
10 camel 25 38
11 car 22 30
12 carriage 18 27
13 cattle 22 36
14 cellular_phone 24 38
15 chicken 3 39
16 children 21 25
17 chopper 23 31
18 classic 32 63
19 Comma 29 44
20 crown 15 48
21 cup 40 59
22 deer 16 37
23 device0 8 56
24 device1 3 19
25 device2 10 38
26 device3 6 100
27 device4 4 69
28 device5 8 38
29 device6 3 34
30 device7 11 19
31 device8 8 30
32 device9 50 122
33 dog 19 34
34 elephant 28 55
35 face 38 53
36 fish 11 36
37 flatfish 30 46
38 fly 16 30
39 fork 21 34
40 fountain 24 33
41 frog 3 50
42 Glas 5 15
43 guitar 24 55
44 hammer 16 31
45 hat 14 59
46 HCircle 46 64
47 heart 68 81
48 horse 19 42
49 horsehoe 27 54
50 jar 48 66
51 key 28 56
52 lizzard 30 43
53 lmfish 28 41
54 misk 46 66
55 octopus 31 51
56 pencil 21 37
57 personal_car 31 48
58 pocket 29 89
59 rat 4 28
60 ray 28 46
61 seasnake 26 48
62 shoe 47 65
63 spoon 28 35
64 spring 31 57
65 stef 3 19
66 teddy 29 37
67 tree 15 25
68 truck 17 21
69 turtle 22 46
70 watch 18 34
