resultat image
apple-10.pgm 54
apple-11.pgm 54
apple-12.pgm 64
apple-13.pgm 53
apple-14.pgm 59
apple-1.pgm 56
apple-20.pgm 58
apple-2.pgm 57
apple-3.pgm 57
apple-4.pgm 40
apple-5.pgm 58
apple-6.pgm 57
apple-7.pgm 49
apple-8.pgm 53
apple-9.pgm 44
bat-10.pgm 25
bat-11.pgm 25
bat-12.pgm 27
bat-13.pgm 29
bat-14.pgm 23
bat-1.pgm 31
bat-20.pgm 35
bat-2.pgm 25
bat-3.pgm 28
bat-4.pgm 21
bat-5.pgm 22
bat-6.pgm 24
bat-7.pgm 24
bat-8.pgm 21
bat-9.pgm 29
beetle-10.pgm 12
beetle-11.pgm 14
beetle-12.pgm 17
beetle-13.pgm 12
beetle-14.pgm 18
beetle-1.pgm 19
beetle-20.pgm 11
beetle-2.pgm 18
beetle-3.pgm 19
beetle-4.pgm 25
beetle-5.pgm 12
beetle-6.pgm 14
beetle-7.pgm 16
beetle-8.pgm 18
beetle-9.pgm 15
bell-10.pgm 29
bell-11.pgm 23
bell-12.pgm 23
bell-13.pgm 24
bell-14.pgm 24
bell-1.pgm 25
bell-20.pgm 21
bell-2.pgm 18
bell-3.pgm 25
bell-4.pgm 22
bell-5.pgm 28
bell-6.pgm 17
bell-7.pgm 17
bell-8.pgm 21
bell-9.pgm 21
bird-10.pgm 32
bird-11.pgm 17
bird-12.pgm 25
bird-13.pgm 16
bird-14.pgm 17
bird-1.pgm 25
bird-20.pgm 29
bird-2.pgm 26
bird-3.pgm 33
bird-4.pgm 36
bird-5.pgm 43
bird-6.pgm 44
bird-7.pgm 32
bird-8.pgm 33
bird-9.pgm 19
Bone-10.pgm 22
Bone-11.pgm 13
Bone-12.pgm 8
Bone-13.pgm 22
Bone-14.pgm 18
Bone-1.pgm 18
Bone-20.pgm 26
Bone-2.pgm 18
Bone-3.pgm 18
Bone-4.pgm 17
Bone-5.pgm 18
Bone-6.pgm 21
Bone-7.pgm 18
Bone-8.pgm 18
Bone-9.pgm 18
bottle-01.pgm 21
bottle-02.pgm 24
bottle-03.pgm 26
bottle-04.pgm 22
bottle-05.pgm 17
bottle-06.pgm 19
bottle-07.pgm 17
bottle-08.pgm 23
bottle-09.pgm 21
bottle-10.pgm 23
bottle-11.pgm 19
bottle-12.pgm 24
bottle-13.pgm 19
bottle-14.pgm 27
bottle-20.pgm 19
brick-01.pgm 22
brick-02.pgm 26
brick-03.pgm 22
brick-04.pgm 19
brick-05.pgm 23
brick-06.pgm 24
brick-07.pgm 20
brick-08.pgm 19
brick-09.pgm 20
brick-10.pgm 18
brick-11.pgm 22
brick-12.pgm 23
brick-13.pgm 22
brick-14.pgm 20
brick-20.pgm 19
butterfly-10.pgm 47
butterfly-11.pgm 44
butterfly-12.pgm 26
butterfly-13.pgm 29
butterfly-14.pgm 29
butterfly-1.pgm 37
butterfly-20.pgm 59
butterfly-2.pgm 42
butterfly-3.pgm 32
butterfly-4.pgm 35
butterfly-5.pgm 29
butterfly-6.pgm 32
butterfly-7.pgm 34
butterfly-8.pgm 38
butterfly-9.pgm 47
camel-10.pgm 33
camel-11.pgm 33
camel-12.pgm 32
camel-13.pgm 30
camel-14.pgm 25
camel-1.pgm 32
camel-20.pgm 30
camel-2.pgm 27
camel-3.pgm 27
camel-4.pgm 33
camel-5.pgm 28
camel-6.pgm 26
camel-7.pgm 30
camel-8.pgm 30
camel-9.pgm 38
car-01.pgm 28
car-02.pgm 23
car-03.pgm 22
car-04.pgm 28
car-05.pgm 23
car-06.pgm 23
car-07.pgm 26
car-08.pgm 23
car-09.pgm 29
car-10.pgm 30
car-11.pgm 30
car-12.pgm 29
car-13.pgm 26
car-14.pgm 26
car-20.pgm 26
carriage-01.pgm 26
carriage-02.pgm 23
carriage-03.pgm 24
carriage-04.pgm 22
carriage-05.pgm 24
carriage-06.pgm 23
carriage-07.pgm 22
carriage-08.pgm 20
carriage-09.pgm 18
carriage-10.pgm 23
carriage-11.pgm 27
carriage-12.pgm 23
carriage-13.pgm 26
carriage-14.pgm 22
carriage-20.pgm 23
cattle-10.pgm 29
cattle-11.pgm 27
cattle-12.pgm 31
cattle-13.pgm 33
cattle-14.pgm 32
cattle-1.pgm 24
cattle-20.pgm 22
cattle-2.pgm 35
cattle-3.pgm 36
cattle-4.pgm 31
cattle-5.pgm 30
cattle-6.pgm 26
cattle-7.pgm 30
cattle-8.pgm 32
cattle-9.pgm 30
cellular_phone-10.pgm 37
cellular_phone-11.pgm 35
cellular_phone-12.pgm 28
cellular_phone-13.pgm 34
cellular_phone-14.pgm 26
cellular_phone-1.pgm 38
cellular_phone-20.pgm 37
cellular_phone-2.pgm 24
cellular_phone-3.pgm 28
cellular_phone-4.pgm 28
cellular_phone-5.pgm 29
cellular_phone-6.pgm 32
cellular_phone-7.pgm 31
cellular_phone-8.pgm 27
cellular_phone-9.pgm 30
chicken-10.pgm 17
chicken-11.pgm 16
chicken-12.pgm 3
chicken-13.pgm 23
chicken-14.pgm 21
chicken-1.pgm 3
chicken-20.pgm 32
chicken-2.pgm 39
chicken-3.pgm 34
chicken-4.pgm 34
chicken-5.pgm 27
chicken-6.pgm 19
chicken-7.pgm 19
chicken-8.pgm 20
chicken-9.pgm 22
children-10.pgm 22
children-11.pgm 22
children-12.pgm 23
children-13.pgm 23
children-14.pgm 22
children-1.pgm 23
children-20.pgm 24
children-2.pgm 22
children-3.pgm 21
children-4.pgm 25
children-5.pgm 24
children-6.pgm 25
children-7.pgm 23
children-8.pgm 23
children-9.pgm 22
chopper-01.pgm 25
chopper-02.pgm 25
chopper-03.pgm 24
chopper-04.pgm 24
chopper-05.pgm 23
chopper-06.pgm 25
chopper-07.pgm 24
chopper-08.pgm 25
chopper-09.pgm 28
chopper-10.pgm 24
chopper-11.pgm 31
chopper-12.pgm 25
chopper-13.pgm 24
chopper-14.pgm 26
chopper-20.pgm 28
classic-10.pgm 37
classic-11.pgm 37
classic-12.pgm 35
classic-13.pgm 42
classic-14.pgm 63
classic-1.pgm 40
classic-20.pgm 40
classic-2.pgm 32
classic-3.pgm 32
classic-4.pgm 51
classic-5.pgm 51
classic-6.pgm 36
classic-7.pgm 36
classic-8.pgm 37
classic-9.pgm 37
Comma-10.pgm 38
Comma-11.pgm 36
Comma-12.pgm 44
Comma-13.pgm 31
Comma-14.pgm 34
Comma-1.pgm 43
Comma-20.pgm 43
Comma-2.pgm 41
Comma-3.pgm 43
Comma-4.pgm 34
Comma-5.pgm 37
Comma-6.pgm 34
Comma-7.pgm 29
Comma-8.pgm 41
Comma-9.pgm 38
crown-10.pgm 26
crown-11.pgm 28
crown-12.pgm 15
crown-13.pgm 19
crown-14.pgm 26
crown-1.pgm 48
crown-20.pgm 26
crown-2.pgm 18
crown-3.pgm 32
crown-4.pgm 17
crown-5.pgm 22
crown-6.pgm 28
crown-7.pgm 18
crown-8.pgm 17
crown-9.pgm 17
cup-10.pgm 43
cup-11.pgm 41
cup-12.pgm 59
cup-13.pgm 55
cup-14.pgm 46
cup-1.pgm 51
cup-20.pgm 42
cup-2.pgm 52
cup-3.pgm 47
cup-4.pgm 56
cup-5.pgm 40
cup-6.pgm 55
cup-7.pgm 49
cup-8.pgm 43
cup-9.pgm 46
deer-10.pgm 29
deer-11.pgm 30
deer-12.pgm 26
deer-13.pgm 26
deer-14.pgm 16
deer-1.pgm 32
deer-20.pgm 32
deer-2.pgm 32
deer-3.pgm 32
deer-4.pgm 37
deer-5.pgm 32
deer-6.pgm 25
deer-7.pgm 22
deer-8.pgm 27
deer-9.pgm 27
device0-10.pgm 10
device0-11.pgm 10
device0-12.pgm 14
device0-13.pgm 11
device0-14.pgm 24
device0-1.pgm 25
device0-20.pgm 32
device0-2.pgm 14
device0-3.pgm 25
device0-4.pgm 21
device0-5.pgm 23
device0-6.pgm 33
device0-7.pgm 8
device0-8.pgm 56
device0-9.pgm 26
device1-10.pgm 17
device1-11.pgm 14
device1-12.pgm 8
device1-13.pgm 8
device1-14.pgm 12
device1-1.pgm 14
device1-20.pgm 14
device1-2.pgm 18
device1-3.pgm 19
device1-4.pgm 13
device1-5.pgm 8
device1-6.pgm 15
device1-7.pgm 19
device1-8.pgm 11
device1-9.pgm 3
device2-10.pgm 18
device2-11.pgm 14
device2-12.pgm 15
device2-13.pgm 20
device2-14.pgm 12
device2-1.pgm 14
device2-20.pgm 21
device2-2.pgm 10
device2-3.pgm 38
device2-4.pgm 17
device2-5.pgm 31
device2-6.pgm 36
device2-7.pgm 14
device2-8.pgm 20
device2-9.pgm 22
device3-10.pgm 61
device3-11.pgm 6
device3-12.pgm 6
device3-13.pgm 8
device3-14.pgm 94
device3-1.pgm 60
device3-20.pgm 6
device3-2.pgm 26
device3-3.pgm 67
device3-4.pgm 6
device3-5.pgm 24
device3-6.pgm 100
device3-7.pgm 92
device3-8.pgm 6
device3-9.pgm 9
device4-10.pgm 17
device4-11.pgm 4
device4-12.pgm 8
device4-13.pgm 9
device4-14.pgm 16
device4-1.pgm 69
device4-20.pgm 15
device4-2.pgm 20
device4-3.pgm 47
device4-4.pgm 29
device4-5.pgm 8
device4-6.pgm 10
device4-7.pgm 31
device4-8.pgm 17
device4-9.pgm 27
device5-10.pgm 12
device5-11.pgm 38
device5-12.pgm 11
device5-13.pgm 8
device5-14.pgm 9
device5-1.pgm 8
device5-20.pgm 9
device5-2.pgm 22
device5-3.pgm 22
device5-4.pgm 23
device5-5.pgm 11
device5-6.pgm 23
device5-7.pgm 10
device5-8.pgm 33
device5-9.pgm 32
device6-10.pgm 10
device6-11.pgm 11
device6-12.pgm 19
device6-13.pgm 24
device6-14.pgm 15
device6-1.pgm 23
device6-20.pgm 23
device6-2.pgm 26
device6-3.pgm 34
device6-4.pgm 31
device6-5.pgm 3
device6-6.pgm 32
device6-7.pgm 8
device6-8.pgm 9
device6-9.pgm 10
device7-10.pgm 18
device7-11.pgm 16
device7-12.pgm 19
device7-13.pgm 19
device7-14.pgm 18
device7-1.pgm 13
device7-20.pgm 11
device7-2.pgm 12
device7-3.pgm 12
device7-4.pgm 12
device7-5.pgm 12
device7-6.pgm 11
device7-7.pgm 12
device7-8.pgm 12
device7-9.pgm 18
device8-10.pgm 24
device8-11.pgm 22
device8-12.pgm 8
device8-13.pgm 30
device8-14.pgm 25
device8-1.pgm 9
device8-20.pgm 9
device8-2.pgm 17
device8-3.pgm 17
device8-4.pgm 12
device8-5.pgm 25
device8-6.pgm 23
device8-7.pgm 24
device8-8.pgm 24
device8-9.pgm 23
device9-10.pgm 122
device9-11.pgm 122
device9-12.pgm 116
device9-13.pgm 119
device9-14.pgm 119
device9-1.pgm 119
device9-20.pgm 122
device9-2.pgm 102
device9-3.pgm 54
device9-4.pgm 122
device9-5.pgm 122
device9-6.pgm 122
device9-7.pgm 120
device9-8.pgm 50
device9-9.pgm 122
dog-10.pgm 21
dog-11.pgm 34
dog-12.pgm 19
dog-13.pgm 19
dog-14.pgm 27
dog-1.pgm 23
dog-20.pgm 19
dog-2.pgm 28
dog-3.pgm 27
dog-4.pgm 23
dog-5.pgm 19
dog-6.pgm 30
dog-7.pgm 31
dog-8.pgm 23
dog-9.pgm 21
elephant-10.pgm 31
elephant-11.pgm 37
elephant-12.pgm 51
elephant-13.pgm 35
