resultat image
apple-10.pgm 0.483794
apple-11.pgm 0.418636
apple-12.pgm 0.490363
apple-13.pgm 0.48539
apple-14.pgm 0.475029
apple-1.pgm 0.511407
apple-20.pgm 0.512946
apple-2.pgm 0.516704
apple-3.pgm 0.442805
apple-4.pgm 0.410102
apple-5.pgm 0.440533
apple-6.pgm 0.493699
apple-7.pgm 0.498784
apple-8.pgm 0.476885
apple-9.pgm 0.478749
bat-10.pgm 0
bat-11.pgm 0
bat-12.pgm 0.088037
bat-13.pgm 0.0857877
bat-14.pgm 0.0435915
bat-1.pgm 0.0478325
bat-20.pgm 0.0464114
bat-2.pgm 0.0470839
bat-3.pgm 0.0458429
bat-4.pgm 0.0185789
bat-5.pgm 0.0199778
bat-6.pgm 0
bat-7.pgm 0
bat-8.pgm 0.0408917
bat-9.pgm 0.0421006
beetle-10.pgm 0.221803
beetle-11.pgm 0.266123
beetle-12.pgm 0.262141
beetle-13.pgm 0.285437
beetle-14.pgm 0.316407
beetle-1.pgm 0.206741
beetle-20.pgm 0.213519
beetle-2.pgm 0.0514207
beetle-3.pgm 0.387251
beetle-4.pgm 0.231664
beetle-5.pgm 0.310007
beetle-6.pgm 0.31074
beetle-7.pgm 0.0542946
beetle-8.pgm 0.049665
beetle-9.pgm 0.217072
bell-10.pgm 0.365466
bell-11.pgm 0.373444
bell-12.pgm 0.372149
bell-13.pgm 0.349574
bell-14.pgm 0.353695
bell-1.pgm 0.39625
bell-20.pgm 0.360152
bell-2.pgm 0.387473
bell-3.pgm 0.386766
bell-4.pgm 0.360084
bell-5.pgm 0.330677
bell-6.pgm 0.367176
bell-7.pgm 0.376966
bell-8.pgm 0.353362
bell-9.pgm 0.360558
bird-10.pgm 0.126143
bird-11.pgm 0.146651
bird-12.pgm 0.120727
bird-13.pgm 0.187277
bird-14.pgm 0.303134
bird-1.pgm 0.291509
bird-20.pgm 0.240163
bird-2.pgm 0.353339
bird-3.pgm 0.037998
bird-4.pgm 0.0370846
bird-5.pgm 0.11823
bird-6.pgm 0.114989
bird-7.pgm 0.309098
bird-8.pgm 0.308133
bird-9.pgm 0.151311
Bone-10.pgm 0.108632
Bone-11.pgm 0.120869
Bone-12.pgm 0.118117
Bone-13.pgm 0.1127
Bone-14.pgm 0.148964
Bone-1.pgm 0.112353
Bone-20.pgm 0.118265
Bone-2.pgm 0.120821
Bone-3.pgm 0.114973
Bone-4.pgm 0.107094
Bone-5.pgm 0.104536
Bone-6.pgm 0.1109
Bone-7.pgm 0
Bone-8.pgm 0
Bone-9.pgm 0.111372
bottle-01.pgm 0.276208
bottle-02.pgm 0.294319
bottle-03.pgm 0.262777
bottle-04.pgm 0.249637
bottle-05.pgm 0.263669
bottle-06.pgm 0.277792
bottle-07.pgm 0.268224
bottle-08.pgm 0.298881
bottle-09.pgm 0.278444
bottle-10.pgm 0.268985
bottle-11.pgm 0.300801
bottle-12.pgm 0.268833
bottle-13.pgm 0.298485
bottle-14.pgm 0.290883
bottle-20.pgm 0.267413
brick-01.pgm 0.295454
brick-02.pgm 0.285467
brick-03.pgm 0.273758
brick-04.pgm 0.236186
brick-05.pgm 0.289267
brick-06.pgm 0.287003
brick-07.pgm 0.286399
brick-08.pgm 0.249367
brick-09.pgm 0.308572
brick-10.pgm 0.253035
brick-11.pgm 0.275879
brick-12.pgm 0.259938
brick-13.pgm 0.311042
brick-14.pgm 0.262173
brick-20.pgm 0.260434
butterfly-10.pgm 0.0442412
butterfly-11.pgm 0.0442412
butterfly-12.pgm 0.0303821
butterfly-13.pgm 0.0321975
butterfly-14.pgm 0.118589
butterfly-1.pgm 0.0667439
butterfly-20.pgm 0.10492
butterfly-2.pgm 0.0651392
butterfly-3.pgm 0.117873
butterfly-4.pgm 0.118376
butterfly-5.pgm 0.161936
butterfly-6.pgm 0.161936
butterfly-7.pgm 0.07877
butterfly-8.pgm 0.084138
butterfly-9.pgm 0.107263
camel-10.pgm 0.27434
camel-11.pgm 0.256587
camel-12.pgm 0.232674
camel-13.pgm 0.278759
camel-14.pgm 0.261644
camel-1.pgm 0.284003
camel-20.pgm 0.251093
camel-2.pgm 0.235231
camel-3.pgm 0.205959
camel-4.pgm 0.241034
camel-5.pgm 0.165931
camel-6.pgm 0.270363
camel-7.pgm 0.237677
camel-8.pgm 0.212282
camel-9.pgm 0.244855
car-01.pgm 0.301418
car-02.pgm 0.277578
car-03.pgm 0.297038
car-04.pgm 0.286413
car-05.pgm 0.277322
car-06.pgm 0.277277
car-07.pgm 0.296189
car-08.pgm 0.282622
car-09.pgm 0.292891
car-10.pgm 0.27163
car-11.pgm 0.274703
car-12.pgm 0.283464
car-13.pgm 0.27459
car-14.pgm 0.277426
car-20.pgm 0.269814
carriage-01.pgm 0.167513
carriage-02.pgm 0.032735
carriage-03.pgm 0.151031
carriage-04.pgm 0.176131
carriage-05.pgm 0.147419
carriage-06.pgm 0.142849
